,index,blocknum,p0vs1,p1vs0,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,ZRX-slippagemap_01,ZRX-slippagemap_2,ZRX-slippagemap_3,ZRX-slippagemap_4,ZRX-slippagemap_5,ZRX-slippagemap_6,ZRX-slippagemap_7,ZRX-slippagemap_8,ZRX-slippagemap_9,ZRX-slippagemap_10
53,53,13286122.0,3172.568819518113,0.0003152019883218457,4.034741787565615,8.678522081941047,13.276098298489325,17.827930074423534,22.33447270826919,26.79617668236799,31.213488167178234,35.586848848252224,39.91669606054716,44.20346272847446,48.44757741771498,31611.195427537335,46157.99491271032,60560.05850472877,74818.82637991497,88935.72395498848,102912.16320816048,116749.54156391213,130449.24229321594,144012.6357561941,157441.07786149107
54,54,13287803.0,3206.375216091039,0.00031187865817498475,1.5517176484257462,6.195497942801177,10.793074159349455,15.344905935283665,19.851448569129317,24.31315254322812,28.730464028038366,33.10382470911235,37.433671921407296,41.7204385893346,45.96455327857512,39531.19542796362,54077.994913136594,68480.05850515504,82738.82638034124,96855.72395541477,110832.16320858676,124669.54156433842,138369.24229364222,151932.63575662038,165361.07786191735
55,55,13289395.0,3287.21216076211,0.0003042091447386709,0.4019947889386113,4.99957100548689,9.5514027814211,14.057945415266753,18.519649389365554,22.9369608741758,27.31032155524979,31.640168767544726,35.92693543547203,40.17105012471255,44.37293734012988,43648.20557248864,58341.19542897604,72887.99491414902,87290.05850616746,101548.82638135366,115665.72395642719,129642.16320959918,143479.54156535084,157179.24229465463,170742.6357576328
56,56,13290786.0,3295.1105493103146,0.0003034799546283222,4.452481770021574,9.004313545955783,13.510856179801436,17.972560153900236,22.389871638710485,26.763232319784475,31.09307953207941,35.37984620000672,39.623960889247236,43.825848104664566,47.98592787505957,30608.193988830604,45448.84323778606,60141.833094273454,74688.63257944644,89090.69617146488,103349.46404665109,117466.3616217246,131442.8008748966,145280.17923064827,158979.87995995206
57,57,13292090.0,3256.1330586279296,0.00030711275675613216,2.602161744398462,7.199737960946741,11.751569736880949,16.258112370726604,20.719816344825404,25.137127829635652,29.51048851070964,33.84033572300458,38.12710239093188,42.3712170801724,46.57310429558973,36449.596396481385,51142.58625296879,65689.38573814176,80091.44933016022,94350.21720534642,108467.11478041993,122443.55403359192,136280.9323893436,149980.63311864738,163544.02658162554
58,58,13293115.0,3187.832991362619,0.0003136927193831934,2.9195570141310085,7.56333730850644,12.160913525054719,16.712745300988928,21.21928793483458,25.680991908933382,30.098303393743628,34.47166407481762,38.801511287112554,43.08827795503986,47.332392644280375,35157.89455851971,49704.69404369269,64106.75763571114,78365.52551089734,92482.42308597085,106458.86233914286,120296.24069489451,133995.9414241983,147559.33488717646,160987.77699247346
59,59,13293915.0,3217.2948987925374,0.0003108201241904507,0.7556817541798384,5.39946204855527,9.997038265103548,14.548870041037757,19.05541267488341,23.51711664898221,27.93442813379246,32.30778881486645,36.637636027161385,40.92440269508869,45.168517384329206,42088.088257707874,56634.887742880856,71036.9513348993,85295.7192100855,99412.61678515901,113389.05603833102,127226.43439408268,140926.13512338648,154489.52858636464,167917.9706916616
60,60,13299448.0,3235.3613858689205,0.00030908448260762996,4.092462883544975,8.690039100093253,13.241870876027463,17.748413509873117,22.210117483971917,26.627428968782162,31.000789649856152,35.33063686215109,39.61740353007839,43.86151821931891,48.06340543473625,31612.16043205106,46305.15028853846,60851.949773711436,75254.01336572989,89512.78124091608,103629.67881598961,117606.1180691616,131443.49642491326,145143.19715421705,158706.5906171952
61,61,13300000.0,3240.2178265497096,0.0003086212265750148,3.741004756679167,8.338580973227446,12.890412749161655,17.39695538300731,21.85865935710611,26.275970841916354,30.649331522990344,34.97917873528528,39.265945403212584,43.5100600924531,47.71194730787044,32750.18523211231,47443.17508859971,61989.97457377269,76392.03816579113,90650.80604097735,104767.70361605086,118744.14286922285,132581.5212249745,146281.22195427833,159844.6154172565
62,62,13300808.0,3348.9233565299883,0.0002986034296813999,0.71668359513565,5.26851537106986,9.775058004915513,14.236761979014313,18.65407346382456,23.02743414489855,27.357281357193486,31.644048025120792,35.88816271436131,40.090049929778644,44.25012970017365,43018.77542650281,57859.424675458264,72552.41453194566,87099.21401711865,101501.27760913709,115760.04548432329,129876.94305939681,143853.3823125688,157690.76066832046,171390.46139762425
