block,reserve USDC,reserve DAI,price,volume for slippage 5%
11702801,21587181.334155,18472249.284339983,0.9983621259925497,17416704
11702920,21929710.015293,18651877.2136572,0.9983212396071816,17603072
11703042,22028115.338771,18725019.883022383,0.998323483896089,17679872
11703136,22100500.422698,18882401.314380758,0.9984024129396519,17867264
11703271,22135221.10028,18839494.97377955,0.9983619878981342,17819136
11703365,21031497.383368,18842484.59206947,0.9988540126231147,17847808
11703444,21406705.365133,18613175.02553964,0.9985415281938209,17587712
11703499,25381006.940682,21593925.291787807,0.9984332620393579,20521984
11703606,25181388.932165,21134227.963901855,0.9982862118633922,20046336
11703641,25181239.138817,21211874.35387447,0.9983144448727033,20116992
11703695,24809783.319379,21378435.97298099,0.9985323592655302,20304384
11703811,24763973.497224,21107177.136089876,0.9984201780865961,20022784
11703921,24480256.749652,21147386.23865669,0.9985544528083068,20085248
11703998,24547624.351964,21168606.611290656,0.9985433875677098,20110848
11704099,24350507.121149,21293944.72923061,0.9986826203901973,20255232
11704137,23949672.570012,21184801.482243747,0.9987838829251836,20149760
11704245,24135999.890639,21344207.5699465,0.998781746671469,20302336
11704347,24449336.755473,21123700.408769183,0.9985472725389882,20050432
11704403,24520666.415293,21188000.72592294,0.9985509980169409,20114944
11704608,24914574.530997,21031806.300086442,0.998307056392271,19914240
11704752,24855316.566354,21321937.509893946,0.9984692340426546,20217344
11704934,24767696.974913,21332148.791837685,0.9985045327946259,20226560
11704987,24708962.562822,21166235.662069637,0.9984440525981739,20052480
11705124,24776400.78509,21252122.82417715,0.9984629351854954,20143616
11705216,24770148.785144,21222475.57497675,0.9984488430343552,20110848
11705389,24881925.145386,20863205.038717765,0.998237378686838,19741184
11705524,24577568.232622,21158094.784483876,0.9985056869605469,20069888
11705644,24604032.000413,21130211.746372312,0.9984805665447447,20037120
11705741,24572828.097675,21545030.81803341,0.9986924939134229,20472320
11705874,24710206.425812,21875427.31100599,0.9987974789972504,20816896
11706036,26560609.642476,22498537.67556579,0.9982327335461765,21165056
11706132,26469513.521573,22920883.85343774,0.9984811361500667,21623808
11706247,26214121.346902,22791139.77579151,0.9985280253919872,21515264
11706403,25794119.502788,22584036.28168718,0.9986000454191706,21328896
11706517,25482812.949755,22699037.507794455,0.9988128259813801,21527552
11706730,25340924.590336,22333780.120834433,0.9987388351004786,21222400
11706873,25441954.681678,22380691.306243613,0.9987114020078035,21249024
11706963,24886153.131735,22293193.410877705,0.9988970759581601,21201920
11707029,24996481.880342,22205451.148611676,0.9988103694424052,21099520
11707193,24914223.083539,22183734.348600127,0.9988359970392693,21087232
11707452,25027335.659067,22190659.942458715,0.9987947671815782,21089280
11707688,25195139.344309,22028584.99800329,0.9986575425675519,20917248
11707781,25227682.656094,21729514.42818937,0.9985017742423098,20599808
11707904,25580050.748758,21996289.92202545,0.9984806804525194,20843520
11708112,25419405.718548,22110073.6679248,0.9985989884404479,20974592
11708199,24716793.245005,22082631.898851566,0.9988741360124499,21003264
11708367,24983144.664704,21963201.632541027,0.9987039661700985,20849664
11708510,24752388.755509,22056253.24007532,0.9988416195764611,20964352
11708690,24737358.432221,21969041.825381715,0.998802570214613,20866048
11708845,24708112.385139,21859019.512579985,0.9987711377341258,20767744
11708993,24566458.455105,21934902.867376007,0.9988683803457938,20864000
11709151,24555388.753334,21916855.6094772,0.9988665348581616,20849664
11709341,24537315.907492,21875093.495616596,0.9988543214652889,20806656
11709559,24562358.009944,21878705.972835004,0.9988460834887737,20808704
11709668,24548239.9224,21934192.782352086,0.9988755295196053,20864000
11709856,24651446.458595,21974500.42219361,0.998852996218754,20900864
11709998,24626998.442026,22003728.241652463,0.9988748844676251,20929536
11710263,24603895.925754,22211093.441270772,0.9989739421579832,21134336
